word,phonetic,definition,example
escape,动态发音,v. 逃跑，逃脱；逃避，摆脱；避开，避免（疾病或受伤等）；泄露，逸出；不自觉地说出；被遗忘，被忽略；...,The scholarly paper illustrates the significant impact of escape in the empirical study.
escort,动态发音,n. 护送者，护卫队，护航舰；（通常指异性的）社交聚会陪伴者，伴游；陪护，护送; v. 押送；护送，...,The scholarly paper illustrates the significant impact of escort in the empirical study.
essay,动态发音,n. （学生为某门课程所写的）短文，论说文； （用来刊登的）散文，随笔；企图，尝试；尚未采用的邮票设...,The scholarly paper illustrates the significant impact of essay in the empirical study.
essence,动态发音,n. 本质，要素；香精，香料; 【名】 （Essence）（英）埃森丝（人名）,The scholarly paper illustrates the significant impact of essence in the empirical study.
essential,动态发音,adj. 必不可少的，非常重要的；基本的，精髓的；（氨基酸、脂肪酸）必需的；（疾病）自发的，原发的;...,The scholarly paper illustrates the significant impact of essential in the empirical study.
establish,动态发音,v. 建立，设立；证实，确定；发现，找出；使被接受，使得到承认；使（故事的角色）真实；（桥牌）（通过...,The scholarly paper illustrates the significant impact of establish in the empirical study.
estate,动态发音,n. 财产，遗产；大片私有土地，庄园；<英>住宅区，工业区；<旧>社会阶层；（生活）状况，条件,The scholarly paper illustrates the significant impact of estate in the empirical study.
esteem,动态发音,n. 尊重，敬重; v. 尊重，敬重；认为，把……看作,The scholarly paper illustrates the significant impact of esteem in the empirical study.
estimate,动态发音,v. 估计；判断，评价; n. 估计，估价；估价单；看法，判断,The scholarly paper illustrates the significant impact of estimate in the empirical study.
eternal,动态发音,adj. 永恒的，永存的；似乎无休无止的，没完没了的,The scholarly paper illustrates the significant impact of eternal in the empirical study.
ethics,动态发音,n. 行为准则，道德原则；伦理学，道德学,The scholarly paper illustrates the significant impact of ethics in the empirical study.
ethnic,动态发音,adj. （有关）种族的，民族的；少数民族的；具有民族特色的，异国风味的；既非基督教亦非犹太教的，异...,The scholarly paper illustrates the significant impact of ethnic in the empirical study.
evacuate,动态发音,v. （把人从危险的地方）疏散，撤离；（从危险的地方）搬出，撤空；（用泵等）抽出，抽空；排泄（粪便等...,The scholarly paper illustrates the significant impact of evacuate in the empirical study.
evaluate,动态发音,v. 评价，评估，估值；求（方程式，公式，函数）的数值,The scholarly paper illustrates the significant impact of evaluate in the empirical study.
evaporate,动态发音,v. （使）蒸发，挥发；消失，消散,The scholarly paper illustrates the significant impact of evaporate in the empirical study.
exaggerate,动态发音,v. 夸大，言过其实；使扩大,The scholarly paper illustrates the significant impact of exaggerate in the empirical study.
exceed,动态发音,v. 超过，超出；超越（限制）；优于，胜过,The scholarly paper illustrates the significant impact of exceed in the empirical study.
excel,动态发音,v. 精通，擅长；超过，胜过,The scholarly paper illustrates the significant impact of excel in the empirical study.
exceptional,动态发音,adj. 卓越的，杰出的；不寻常的，罕见的；（心理或身体上）有缺陷的; n. （公司账目上的）异常项...,The scholarly paper illustrates the significant impact of exceptional in the empirical study.
excess,动态发音,n. 超过，过量；越轨行为，暴行；无节制，无度；（保险中的）免赔额; adj. 过多的，超额的；额外...,The scholarly paper illustrates the significant impact of excess in the empirical study.
exclude,动态发音,vt. （故意）不包括，把……排除在外；认为……不可能，排除……的可能；阻挡；开除（学生）；防止……...,The scholarly paper illustrates the significant impact of exclude in the empirical study.
exclusive,动态发音,adj. 独有的，专用的；高档的，昂贵的；不含……的；排外的；排斥的；全部的；唯一关心的；（新闻或报...,The scholarly paper illustrates the significant impact of exclusive in the empirical study.
execute,动态发音,v. 执行，实施；处决；完成，表演（高难度动作）；制作（艺术作品）；（计算机）执行指令（或程序）,The scholarly paper illustrates the significant impact of execute in the empirical study.
exemplify,动态发音,v. 是……的典范；举例说明,The scholarly paper illustrates the significant impact of exemplify in the empirical study.
exert,动态发音,v. 运用，施加（影响）；努力，尽力（exert oneself）,The scholarly paper illustrates the significant impact of exert in the empirical study.
exhaust,动态发音,v. 使精疲力尽；耗尽；详尽讨论；排放，排出（气体，蒸汽）; n. 废气；排气管，排气装置,The scholarly paper illustrates the significant impact of exhaust in the empirical study.
exhibit,动态发音,v. 表现出；卖弄，炫耀；提出（证据等）；展览，展出; n. 展品；（法庭上出示的）证物；<美>展览...,The scholarly paper illustrates the significant impact of exhibit in the empirical study.
exile,动态发音,n. 流放；被流放者，流亡者; v. 流放；使离开,The scholarly paper illustrates the significant impact of exile in the empirical study.
exotic,动态发音,adj. 奇异的，异国风情的; n. 外来植物，外来动物,The scholarly paper illustrates the significant impact of exotic in the empirical study.
expand,动态发音,v. 扩大，增加；扩展，发展；细谈，详述；变得更自信（善谈）；（宇宙）膨胀,The scholarly paper illustrates the significant impact of expand in the empirical study.
expel,动态发音,v. 把……开除（或除名）；驱逐；排出（空气、水、气体等）,The scholarly paper illustrates the significant impact of expel in the empirical study.
expend,动态发音,v. 花费，消耗，耗尽,The scholarly paper illustrates the significant impact of expend in the empirical study.
expense,动态发音,n. 代价，费用；业务费用，报销（expenses）；需要花钱的东西，花销的东西; v. <非正式>...,The scholarly paper illustrates the significant impact of expense in the empirical study.
expertise,动态发音,n. 专长，专门技能（知识）；专家的意见,The scholarly paper illustrates the significant impact of expertise in the empirical study.
expire,动态发音,v. 到期，失效；死亡；呼气，吐气；（任期）届满,The scholarly paper illustrates the significant impact of expire in the empirical study.
explicit,动态发音,adj. 清楚明白的，明确的，详述的；直截了当的，坦率的；赤裸裸表现性爱（或暴力）的，露骨的; n....,The scholarly paper illustrates the significant impact of explicit in the empirical study.
exploit,动态发音,v. 剥削，压榨；利用（……为自己谋利）；运用，发挥；开发，开拓; n. 英勇事迹，壮举；大胆的表演...,The scholarly paper illustrates the significant impact of exploit in the empirical study.
explore,动态发音,v. 探讨，探究；考察，探索；（用手或身体其他部位）探查，仔细检查,The scholarly paper illustrates the significant impact of explore in the empirical study.
explosive,动态发音,adj. 易爆的，可能引起爆炸的；（局势）一触即发的，爆炸性的；暴躁的，易怒的；激增的；强有力的；（...,The scholarly paper illustrates the significant impact of explosive in the empirical study.
export,动态发音,v. 出口；传播，输出；（在计算机中）导出，输出; n. 出口，输出；出口物，输出品；出口量，出口收...,The scholarly paper illustrates the significant impact of export in the empirical study.
expose,动态发音,v. 暴露，使显露；使面临，使遭受（危险或不快）；揭露，揭发；接触，体验；露出，显露（感情）；使（胶...,The scholarly paper illustrates the significant impact of expose in the empirical study.
express,动态发音,v. 表达，表露；表现，体现；（用数学方法）表示；压榨，挤压出（空气或液体）；特快发运; n. 快车...,The scholarly paper illustrates the significant impact of express in the empirical study.
extend,动态发音,v. 延伸；扩大，延长；持续；包括，波及；提供，表示；伸出；使竭尽全力；对……估价；继承（面向对象语...,The scholarly paper illustrates the significant impact of extend in the empirical study.
extensive,动态发音,adj. 广阔的；广泛的；巨大的，大量的；（农业）粗放（经营）的,The scholarly paper illustrates the significant impact of extensive in the empirical study.
extent,动态发音,n. 程度；范围，长度,The scholarly paper illustrates the significant impact of extent in the empirical study.
extinguish,动态发音,v. 熄灭；消灭，使破灭；<法律>取消（权利，义务），使无效；偿清；压制,The scholarly paper illustrates the significant impact of extinguish in the empirical study.
extra,动态发音,adj. 额外的；另外收费的; n. 另收费的事物；临时演员；（非击球所得的）附加分；<旧>（报纸的...,The scholarly paper illustrates the significant impact of extra in the empirical study.
extract,动态发音,n. 选段，引文；提取物，汁; v. 提取，提炼；取出，拔出；摘录；索取，设法得到；开（方），求（根...,The scholarly paper illustrates the significant impact of extract in the empirical study.
extraordinary,动态发音,adj. 异乎寻常的，令人惊奇的；非凡的，卓越的；特别的，临时的；特大（或多）的；特派的，特命的; ...,The scholarly paper illustrates the significant impact of extraordinary in the empirical study.
extravagant,动态发音,adj. 奢侈的，挥霍的；不切实际的，放肆的；豪华的，精美的,The scholarly paper illustrates the significant impact of extravagant in the empirical study.
extreme,动态发音,adj. 极大的，极度的；极端的，严重的；过分的，偏激的；尽头的，末端的；极限的，从事极限运动的; ...,The scholarly paper illustrates the significant impact of extreme in the empirical study.
fabricate,动态发音,v. 制造，生产；捏造，编造；组装，装配,The scholarly paper illustrates the significant impact of fabricate in the empirical study.
facilitate,动态发音,v. 使更容易，使便利；促进，推动,The scholarly paper illustrates the significant impact of facilitate in the empirical study.
faculty,动态发音,n. 机能；天赋，才能；（高等院校的）系，院；<美> 全体教员；<旧>（某行业，尤指医学行业的）全体...,The scholarly paper illustrates the significant impact of faculty in the empirical study.
fade,动态发音,v. 逐渐消失；（使）褪色，（使）变暗；枯萎，凋谢；变得虚弱；退步；（车辆的刹车因摩擦发热而）暂时失...,The scholarly paper illustrates the significant impact of fade in the empirical study.
faint,动态发音,adj. 模糊的，微弱的；微小的，可能性不大的；虚弱的，头晕目眩的；不热情的; n. 晕倒，昏厥; ...,The scholarly paper illustrates the significant impact of faint in the empirical study.
faith,动态发音,n. 信任，信心，信念；宗教；宗教信仰；忠诚; int. <爱尔兰>用以表示惊讶或强调千真万确; 【...,The scholarly paper illustrates the significant impact of faith in the empirical study.
fame,动态发音,n. 名誉，名气; v. 使闻名，使有名望,The scholarly paper illustrates the significant impact of fame in the empirical study.
famine,动态发音,n. 饥荒，饥馑；匮乏，短缺；<古>饥饿,The scholarly paper illustrates the significant impact of famine in the empirical study.
fancy,动态发音,v. <英，非正式> 喜欢，想要；<英，非正式> 爱恋，爱慕；<英，非正式> 认为……会成功（赢）；...,The scholarly paper illustrates the significant impact of fancy in the empirical study.
fatal,动态发音,adj. 致命的；导致失败的，灾难性的; 【名】 （Fatal）（葡、芬）法塔尔（人名）,The scholarly paper illustrates the significant impact of fatal in the empirical study.
fatigue,动态发音,n. 疲乏，厌倦；（金属部件的）疲劳；（士兵穿的）工作服；士兵杂役（尤指作为惩罚；如做打扫、帮厨）;...,The scholarly paper illustrates the significant impact of fatigue in the empirical study.
feasible,动态发音,adj. 可行的，办得到的；很可能会发生的,The scholarly paper illustrates the significant impact of feasible in the empirical study.
feature,动态发音,n. 特点，特征；五官，面貌（特征）；地貌；特写，专题节目；正片； 特点，特征; v. 以……为特色...,The scholarly paper illustrates the significant impact of feature in the empirical study.
federal,动态发音,adj. 联邦（制）的；（与）联邦政府（有关的）的；中央集权式的；（美国内战时期）北部联邦政府的; ...,The scholarly paper illustrates the significant impact of federal in the empirical study.
feeble,动态发音,adj. 衰弱的，虚弱的；（光线或声音）微弱的；软弱的；无效的，不佳的,The scholarly paper illustrates the significant impact of feeble in the empirical study.
feedback,动态发音,n. 反馈意见；（信号返回电子音响系统所致的）噪声；（返回机器、系统或者程序的）返回信息，返回电流,The scholarly paper illustrates the significant impact of feedback in the empirical study.
fertile,动态发音,adj. 肥沃的，富饶的；可繁殖的，能结果的；能产生好结果的，促进的；点子多的，想象力丰富的；（核材...,The scholarly paper illustrates the significant impact of fertile in the empirical study.
feudal,动态发音,adj. 封建（制度）的；过时（或老式）得可笑的；争吵的,The scholarly paper illustrates the significant impact of feudal in the empirical study.
fiber,动态发音,n. 纤维（等于 fibre）; n. (Fiber) （匈）菲贝尔（人名）,The scholarly paper illustrates the significant impact of fiber in the empirical study.
fiction,动态发音,n. 小说；虚构的事，谎言；杜撰，编造,The scholarly paper illustrates the significant impact of fiction in the empirical study.
fierce,动态发音,adj. （动作或情感）强烈的，激烈的；（人或动物）凶猛的，狂怒的；（天气等）狂暴的，恶劣的; ad...,The scholarly paper illustrates the significant impact of fierce in the empirical study.
figure,动态发音,n. 数字，数目，数值；数字符号，位数；身材，体型；（远处的）人影；（重要的）人物；（绘画或模型中）...,The scholarly paper illustrates the significant impact of figure in the empirical study.
finance,动态发音,n. 财政，金融；资金，财源；财务事务，经济情况; v. 提供资金；贷款购买，赊购; 【名】 （Fi...,The scholarly paper illustrates the significant impact of finance in the empirical study.
finite,动态发音,adj. 有限的，有限制的；限定的; n. 有限之物,The scholarly paper illustrates the significant impact of finite in the empirical study.
fist,动态发音,n. 拳，拳头；抓住，抓牢；<非正式>手迹，笔迹；指标参见号; v. 用拳头打；握成拳,The scholarly paper illustrates the significant impact of fist in the empirical study.
flame,动态发音,n. 火焰，火舌；强烈的感情，激情；含辱骂内容的电子邮件；<非正式>恋人，情人; v. 燃烧；（感情...,The scholarly paper illustrates the significant impact of flame in the empirical study.
flap,动态发音,n. 片状悬垂物；拍打，拍动；（飞机的）襟翼；<非正式>混乱，激动；<美>群众愤怒，大众批评; v....,The scholarly paper illustrates the significant impact of flap in the empirical study.
flare,动态发音,v. 突然烧旺，闪耀；突发，加剧；突然发怒，突然爆发；张开，展开; n. 闪耀的光；闪光装置，信号弹...,The scholarly paper illustrates the significant impact of flare in the empirical study.
flash,动态发音,v. 闪光，闪亮；（快速）出示，显示；飞驰，掠过；闪现；迅速播出，传送（信息）；突然显露（强烈情感）...,The scholarly paper illustrates the significant impact of flash in the empirical study.
flat,动态发音,adj. 平的，水平的；平坦的；（水面）平静的，波澜不兴的；平滑的；平放的，平躺的，平卧的；足弓平坦...,The scholarly paper illustrates the significant impact of flat in the empirical study.
flatter,动态发音,v. 奉承，讨好；使高兴，使感到荣幸；使显得更漂亮；使（某物）显得更重要（更好）,The scholarly paper illustrates the significant impact of flatter in the empirical study.
flavor,动态发音,n. 情味，风味；香料；滋味; vt. 加味于,The scholarly paper illustrates the significant impact of flavor in the empirical study.
flaw,动态发音,n. 缺点，缺陷；裂痕，瑕疵; v. 削弱，使失效,The scholarly paper illustrates the significant impact of flaw in the empirical study.
flee,动态发音,v. 逃离，逃避，逃跑,The scholarly paper illustrates the significant impact of flee in the empirical study.
fleet,动态发音,n. 船队，舰队；（某家公司控制的）车队；小湾，水道; adj. <文>快速的；快速的；（水）浅的;...,The scholarly paper illustrates the significant impact of fleet in the empirical study.
flesh,动态发音,n. （人或动物的）肉；（人体的）皮肤；果肉；肉体; v. 使充实，使具体；<文>激起……的杀性，使...,The scholarly paper illustrates the significant impact of flesh in the empirical study.
flexible,动态发音,adj. 灵活的；柔韧的，易弯曲的,The scholarly paper illustrates the significant impact of flexible in the empirical study.
flock,动态发音,n. （鸟或羊等动物）群；一大群人；（某个教堂的）会众，全体教徒；（填充垫子的）絮屑，毛棉填料；（植...,The scholarly paper illustrates the significant impact of flock in the empirical study.
flourish,动态发音,v. 繁荣，昌盛；挥动；（植物或动物）长势好，茁壮成长; n. 夸张动作；（讲话或文章的）华丽辞藻，...,The scholarly paper illustrates the significant impact of flourish in the empirical study.
fluid,动态发音,n. 流体，液体; adj. 液体的，流体的；易变的，不稳定的；流畅优美的,The scholarly paper illustrates the significant impact of fluid in the empirical study.
flush,动态发音,v. （人的皮肤或脸）发红（尤指因病或激动）；冲洗（抽水马桶），（抽水马桶）被冲洗；（用水或其他液体...,The scholarly paper illustrates the significant impact of flush in the empirical study.
flutter,动态发音,v. 飘动，颤动；振（翼），拍打（翅膀）；翩翩飞舞；（心脏等）砰砰乱跳；急赶，奔走；（心脏等）怦怦乱...,The scholarly paper illustrates the significant impact of flutter in the empirical study.
foam,动态发音,n. 泡沫，气泡；泡沫橡胶，海绵橡胶；泡沫剂，泡沫产品；唾液，汗沫; v. 起泡沫，有泡沫,The scholarly paper illustrates the significant impact of foam in the empirical study.
focus,动态发音,n. 重点，中心点；关注，注意；震源；目的，意图；焦距；病灶；调焦装置；目的明确，专注；（椭圆、抛物...,The scholarly paper illustrates the significant impact of focus in the empirical study.
fog,动态发音,n. 雾；烟雾，尘雾；困惑，迷惘；（底片等的）灰雾，雾翳; v. 使令人困惑，使费解；底片产生灰雾；...,The scholarly paper illustrates the significant impact of fog in the empirical study.
fold,动态发音,v. 折叠，对摺；倒闭，垮掉；交叉，交叠；包，裹；拥抱；拌入；认输；抽筋，双腿发软；使（岩石层）形成...,The scholarly paper illustrates the significant impact of fold in the empirical study.
folk,动态发音,n. 人们；家人，双亲；民间音乐；诸位，大伙儿; adj. 民俗的，传统的；流传民间的，普通百姓的;...,The scholarly paper illustrates the significant impact of folk in the empirical study.
follow,动态发音,v. 跟着，跟随；跟踪；（时间或顺序）在……后；循着，沿着（道路等）；沿着……伸延；遵循，听从；仿效...,The scholarly paper illustrates the significant impact of follow in the empirical study.
foolish,动态发音,adj. 愚蠢的，傻的；（因做傻事而）困窘的，难堪的,The scholarly paper illustrates the significant impact of foolish in the empirical study.
forbid,动态发音,v. 禁止；使不可能，妨碍,The scholarly paper illustrates the significant impact of forbid in the empirical study.
forecast,动态发音,v. 预测，预报; n. 预测，预报,The scholarly paper illustrates the significant impact of forecast in the empirical study.
foreign,动态发音,adj. 外国的，来自国外的；外交的，涉外的；陌生的，不熟悉的；外来的，异质的；外地的，不属于本地区...,The scholarly paper illustrates the significant impact of foreign in the empirical study.
foresee,动态发音,v. 预见，预知,The scholarly paper illustrates the significant impact of foresee in the empirical study.
forge,动态发音,v. 形成，缔造；伪造，假冒；稳步前进；锻造；伪装，假冒; n. 锻铁炉，锻造车间; 【名】 （Fo...,The scholarly paper illustrates the significant impact of forge in the empirical study.
formal,动态发音,adj. 庄重的，合乎礼仪的；（语言）正式的，规范的；合法的；整齐的，布置井然的；正统的，拘谨的；（...,The scholarly paper illustrates the significant impact of formal in the empirical study.
format,动态发音,n. 总体安排，计划，设计；（书或杂志的）开本，版式；（录像、激光唱片、磁带等的）格式; v. 为…...,The scholarly paper illustrates the significant impact of format in the empirical study.
formidable,动态发音,adj. 可怕的，令人敬畏的；（形状、数量）巨大的；难对付的,The scholarly paper illustrates the significant impact of formidable in the empirical study.
formula,动态发音,n. 计划，方案；配方，处方；公式，方程式；分子式，结构式；配方奶，代乳品；（特定场合的）惯用词语，...,The scholarly paper illustrates the significant impact of formula in the empirical study.
fortnight,动态发音,n. 两星期,The scholarly paper illustrates the significant impact of fortnight in the empirical study.
fortunate,动态发音,adj. 幸运的；带来幸运的，吉利的；富足的；侥幸的,The scholarly paper illustrates the significant impact of fortunate in the empirical study.
fortune,动态发音,n. 时运，命运；好运，机遇；财富，巨款；未来，前途; v. 给予财富；偶然发生; 【名】 （For...,The scholarly paper illustrates the significant impact of fortune in the empirical study.
forward,动态发音,adv. 向前；在船头，朝飞机头部；按顺序地；有进展地，前进地；向将来，往后；提前；（钟表）往前（拨...,The scholarly paper illustrates the significant impact of forward in the empirical study.
fossil,动态发音,n. 化石；<非正式>思想僵化的人；僵化的事物; adj. 化石的，从地下采掘出的；不变的，古老的,The scholarly paper illustrates the significant impact of fossil in the empirical study.
foster,动态发音,v. 促进，培养；领养，收养; adj. 代养的，寄养的; 【名】 （Foster） 福斯特（人名）,The scholarly paper illustrates the significant impact of foster in the empirical study.
foul,动态发音,adj. 难闻的，令人恶心的；(脾气）暴躁的，（心情）烦躁的；不正当的，不道德的；（语言）下流的，无...,The scholarly paper illustrates the significant impact of foul in the empirical study.
foundation,动态发音,n. 地基，基础；基本原理，根据；基金会；建立，创办；（化妆打底用的）粉底霜,The scholarly paper illustrates the significant impact of foundation in the empirical study.
fraction,动态发音,n. 分数，小数；小部分，微量；持不同意见的小集团；分离；（基督教用语）分切圣餐面包,The scholarly paper illustrates the significant impact of fraction in the empirical study.
fracture,动态发音,n. 破裂，断裂；骨折；（尤指岩层的）裂缝，裂痕；（语音）元音割裂；由单元音割裂成的复合元音; v....,The scholarly paper illustrates the significant impact of fracture in the empirical study.
fragile,动态发音,adj. 易碎的，易损的；不牢固的，易被摧毁的；纤巧美丽的；虚弱的，体弱的,The scholarly paper illustrates the significant impact of fragile in the empirical study.
fragment,动态发音,n. 碎片；片段；残存部分; v. （使）破碎，分裂,The scholarly paper illustrates the significant impact of fragment in the empirical study.
frame,动态发音,n. 框架，边框；（家具、建筑物、车辆等的）构架，支架；体格，骨架；眼镜框；（系统、概念或文章的）基...,The scholarly paper illustrates the significant impact of frame in the empirical study.
frank,动态发音,adj. 坦率的，直言不讳的；明白无误的，症状明显的; v. （在信件上）盖邮资已付印记，盖免付邮资...,The scholarly paper illustrates the significant impact of frank in the empirical study.
fraud,动态发音,n. 欺诈，骗局，诡计；骗子；伪劣品，冒牌货; 【名】 （Fraud）（法）弗罗（人名）,The scholarly paper illustrates the significant impact of fraud in the empirical study.
freedom,动态发音,n. 自由权，自主权；（状态）自由，自主；行动自由（指不在狱中）；摆脱，免受；自由使用权；<英>荣誉...,The scholarly paper illustrates the significant impact of freedom in the empirical study.
freeze,动态发音,v. 结冰；冻住；冷藏，冷冻；感到很冷，冻僵；突然停止，呆住；使（物价或工资等）固定不动；冻结（钱财...,The scholarly paper illustrates the significant impact of freeze in the empirical study.
freight,动态发音,n. 货物；货运；运费；<美>货运列车; v. 运送（货物）；使充满，使负担,The scholarly paper illustrates the significant impact of freight in the empirical study.
frequency,动态发音,n. 出现次数；频繁；频率,The scholarly paper illustrates the significant impact of frequency in the empirical study.
frequent,动态发音,adj. 频繁的，经常性的；<古>间隔很近的; v. 常去，常出入于,The scholarly paper illustrates the significant impact of frequent in the empirical study.
friction,动态发音,n. 不和，分歧；摩擦；摩擦力,The scholarly paper illustrates the significant impact of friction in the empirical study.
fright,动态发音,n. 惊骇，恐怖，惊吓；恐怖的经历；<旧>不整洁的人，奇怪、丑陋的东西; v. <古>使惊恐,The scholarly paper illustrates the significant impact of fright in the empirical study.
fringe,动态发音,n. 穗，流苏；<英>刘海儿；（地区、组织或活动范围的）边缘，外围；偏激的人，极端的活动；干扰条纹，...,The scholarly paper illustrates the significant impact of fringe in the empirical study.
frivolous,动态发音,adj. 愚蠢轻浮的，不严肃的；无聊的，不重要的,The scholarly paper illustrates the significant impact of frivolous in the empirical study.
frontier,动态发音,n. 边境，国界；(常sing.) 西部边疆，边远地区；（尤指知识的）前沿，新领域；西部边疆，边远地...,The scholarly paper illustrates the significant impact of frontier in the empirical study.
frost,动态发音,n. 严寒天气，霜冻；霜；冷淡，冷漠；<英，非正式>失败; v. （使）蒙上霜，结霜；<美>在（糕饼...,The scholarly paper illustrates the significant impact of frost in the empirical study.
frown,动态发音,v. 皱眉，蹙额；皱眉对……表示不满；不同意，不许可（frown on/upon）; n. 皱眉，蹙...,The scholarly paper illustrates the significant impact of frown in the empirical study.
frugal,动态发音,adj. 节俭的，节约的；（饮食）简单的，省钱的,The scholarly paper illustrates the significant impact of frugal in the empirical study.
frustrate,动态发音,v. 使懊恼，使沮丧；挫败，阻挠；受挫; adj. <古>痛苦的，受挫的,The scholarly paper illustrates the significant impact of frustrate in the empirical study.
fuel,动态发音,n. 燃料，燃烧剂；刺激因素，刺激性言行；（为身体提供能量的）食物，饮料，药剂; v. （给……）提...,The scholarly paper illustrates the significant impact of fuel in the empirical study.
fulfill,动态发音,vt. 履行；实现；满足；使结束（等于 fulfil）,The scholarly paper illustrates the significant impact of fulfill in the empirical study.
fume,动态发音,v. 发怒，生气；冒气（或烟、汽）；熏（尤指木材）; n. 刺鼻（或有害）的气，烟; 【名】 （Fu...,The scholarly paper illustrates the significant impact of fume in the empirical study.
function,动态发音,n. 功能，职责；宴会，典礼；函数，应变量；由其他事情造成的结果；子例行程序，子例程；官能团，功能团...,The scholarly paper illustrates the significant impact of function in the empirical study.
fund,动态发音,n. 基金，专款；资金，钱款；基金会；储备量; v. 资助，为……提供资金; 【名】 （Fund)）...,The scholarly paper illustrates the significant impact of fund in the empirical study.
fundamental,动态发音,adj. 根本的，基本的；必需的，必不可少的；不能再分的; n. 基本原理；基音，基频,The scholarly paper illustrates the significant impact of fundamental in the empirical study.
funeral,动态发音,n. 葬礼，丧礼；<美>葬礼上的布道；<古>出殡行列，送葬队伍；<非正式>需要操心的事; adj. ...,The scholarly paper illustrates the significant impact of funeral in the empirical study.
furious,动态发音,adj. 狂怒的，暴怒的；狂暴的，猛烈的；喧闹的，热烈兴奋的,The scholarly paper illustrates the significant impact of furious in the empirical study.
furnace,动态发音,n. 火炉，熔炉,The scholarly paper illustrates the significant impact of furnace in the empirical study.
furnish,动态发音,v. 为（房间或房屋）配备家具；提供，供应,The scholarly paper illustrates the significant impact of furnish in the empirical study.
furniture,动态发音,n. 家具；装置；惯常的见解；贮藏物，内容；步枪底托；（排版用的）大空铅，填空材料,The scholarly paper illustrates the significant impact of furniture in the empirical study.
